DIPUTACIONES LOCALES
02/07/2018 20:00 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
7547,7402,0,7402,98.0787,6201,82.1650,4.0413,1199,3689842,2491611,2486552,67.3891

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PV,MC,NA,CPP,PSI,MORENA,PES,C_PAN_PRD_MC_NA_CPP_PSI,C_PAN_PRD_MC_NA_CPP,C_PAN_PRD_MC_NA_PSI,C_PAN_PRD_MC_CPP_PSI,C_PAN_PRD_NA_CPP_PSI,C_PAN_MC_NA_CPP_PSI,C_PRD_MC_NA_CPP_PSI,C_PAN_PRD_MC_NA,C_PAN_PRD_MC_CPP,C_PAN_PRD_MC_PSI,C_PAN_PRD_NA_CPP,C_PAN_PRD_NA_PSI,C_PAN_PRD_CPP_PSI,C_PAN_MC_NA_CPP,C_PAN_MC_NA_PSI,C_PAN_MC_CPP_PSI,C_PAN_NA_CPP_PSI,C_PRD_MC_NA_CPP,C_PRD_MC_NA_PSI,C_PRD_MC_CPP_PSI,C_PRD_NA_CPP_PSI,C_MC_NA_CPP_PSI,C_PAN_PRD_MC,C_PAN_PRD_NA,C_PAN_PRD_CPP,C_PAN_PRD_PSI,C_PAN_MC_NA,C_PAN_MC_CPP,C_PAN_MC_PSI,C_PAN_NA_CPP,C_PAN_NA_PSI,C_PAN_CPP_PSI,C_PRD_MC_NA,C_PRD_MC_CPP,C_PRD_MC_PSI,C_PRD_NA_CPP,C_PRD_NA_PSI,C_PRD_CPP_PSI,C_MC_NA_CPP,C_MC_NA_PSI,C_MC_CPP_PSI,C_NA_CPP_PSI,C_PAN_PRD,C_PAN_MC,C_PAN_NA,C_PAN_CPP,C_PAN_PSI,C_PRD_MC,C_PRD_NA,C_PRD_CPP,C_PRD_PSI,C_MC_NA,C_MC_CPP,C_MC_PSI,C_NA_PSI,C_CPP_PSI,C_NA_CPP,C_PT_MORENA_PES,C_PT_MORENA,C_PT_PES,C_MORENA_PES,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'210745C0400,210745C040003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0745,04,C,00,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651,,Sin Acta,0,,,,,,,,
'210746B0100,210746B010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0746,01,B,00,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711,,Sin Acta,0,,,,,,,,
'210746C0100,210746C010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0746,01,C,00,1,3,309,416,7,423,40,80,20,17,10,11,23,4,8,164,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,5,0,1,0,23,423,422,711,7,,1,F,1e17a52e5090c232d6354842998f14d8b1d61191eeb8808890b3fbfc3fc29060,2018-07-02 04:48:00,2018-07-02 06:53:33,2018-07-02 06:55:47,CATD,Escaner,ACTA PREP
'210746C0200,210746C020003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0746,02,C,00,1,3,306,416,10,426,58,53,22,20,11,17,39,6,15,137,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,3,0,0,0,426,400,711,10,,1,F,e16442773dee45d68bb92c5d4c42f7dde5eff381a8a40a4b8f733ec6c3e1b761,2018-07-02 04:34:00,2018-07-02 06:31:54,2018-07-02 06:36:24,CATD,Escaner,ACTA PREP
'210746C0300,210746C030003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0746,03,C,00,1,3,316,416,2,415,51,65,21,22,14,14,27,5,14,132,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,11,3,1,2,0,22,418,415,710,2,,1,F,7ab7ef7d4ca18821b98f4913243faf502b385be60bd8a1138c07af8001f10311,2018-07-02 06:30:00,2018-07-02 06:36:50,2018-07-02 06:39:22,CATD,Escaner,ACTA PREP
'210746C0400,210746C040003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0746,04,C,00,1,3,301,429,1,430,67,58,27,18,10,9,31,8,11,152,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,20,430,430,710,1,,1,F,4b218da62d06e09e6eca63be3f1bed26928b922442c7b80ea85f77ae1422d446,2018-07-02 05:58:00,2018-07-02 06:40:25,2018-07-02 06:41:48,CATD,Escaner,ACTA PREP
'210747B0100,210747B010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0747,01,B,00,1,3,267,435,1,436,68,62,51,21,9,19,24,5,11,125,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,23,436,436,682,1,,1,F,b3ff5c3d3f8dd73f45d43f02652a4c88d496e2c13e6e9be27385434f4838d6d4,2018-07-02 06:18:00,2018-07-02 08:28:26,2018-07-02 08:28:54,CATD,Escaner,ACTA PREP
'210747C0100,210747C010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0747,01,C,00,1,3,256,445,2,447,66,48,58,9,17,21,23,8,7,146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,37,447,447,682,2,,1,F,9955463a85af93a27037dc67865ff29a7f13487f9f6bfec2db9c0af1bb197bed,2018-07-02 06:13:00,2018-07-02 08:05:33,2018-07-02 08:06:42,CATD,Escaner,ACTA PREP
'210748B0100,210748B010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0748,01,B,00,1,3,245,383,4,387,70,54,32,10,11,14,16,7,5,132,1,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,0,19,387,386,611,4,,1,F,220caa7430cd21d8430b7e218ba752ce836d9f85bfd9cc47f407ada1f34f5c56,2018-07-02 08:10:00,2018-07-02 08:13:04,2018-07-02 08:14:18,CATD,Escaner,ACTA PREP
'210748C0100,210748C010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0748,01,C,00,1,3,0,0,0,0,82,43,29,11,10,20,24,8,5,121,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,3,0,1,0,17,0,388,611,0,,1,F,b46b28f44586c7ce1dc7ff566c8c14bee1abbfd9ebbfc893d9dc69ec704d5883,2018-07-02 06:15:00,2018-07-02 08:09:46,2018-07-02 08:29:26,CATD,Escaner,ACTA PREP
'210749B0100,210749B010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0749,01,B,00,2,3,135,264,7,271,53,44,13,8,11,24,25,3,2,62,7,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,10,271,271,385,7,,1,F,e2f8187ba790180203cdf85df1703381551381df530921596b05c74ee98fa703,2018-07-02 01:29:00,2018-07-02 01:43:58,2018-07-02 02:33:51,CATD,Escaner,ACTA PREP
'210749C0100,210749C010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0749,01,C,00,2,3,145,250,10,260,45,32,15,2,10,20,22,0,6,80,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11,260,260,384,10,,1,F,18c5b9bde1ecd9c5eb303956476356e95d6a79525bd9499d7315e00886e605c3,2018-07-02 01:30:00,2018-07-02 08:51:19,2018-07-02 08:58:06,CATD,Escaner,ACTA PREP
'210749E0100,210749E010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0749,01,E,00,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,,1,F,614143195cd05cf374e74d0ace6cbb0cab1bae7192928d3fd14d719c9b6d5222,2018-07-02 02:28:00,2018-07-02 02:49:49,2018-07-02 02:50:41,CATD,Escaner,ACTA PREP
'210749E0101,210749E010103,21,PUEBLA,022,IZUCAR DE MATAMOROS,0749,01,E,01,2,3,249,427,7,434,54,63,25,32,14,16,39,7,11,145,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,13,434,431,662,7,,1,F,f4b5aa004552361239f4db7508b9c0e9fd962ddc47fb44dbcf7c8fe9f5c4eede,2018-07-02 02:24:00,2018-07-02 02:46:30,2018-07-02 02:48:28,CATD,Escaner,ACTA PREP
'210750B0100,210750B010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0750,01,B,00,2,3,0,0,0,0,50,35,31,11,9,12,18,7,7,162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,1,0,27,0,388,447,0,,1,F,fd9709e30eb6ea2140b58fc5c4a0eabc3e88b8f3b9895c37992714015e225087,2018-07-02 02:02:00,2018-07-02 02:14:51,2018-07-02 02:18:07,CATD,Escaner,ACTA PREP
'210750E0100,210750E010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0750,01,E,00,2,3,231,286,3,290,22,62,20,13,17,11,36,2,1,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,22,289,288,499,3,,1,F,66ce9ae91355bb5f7e0d884b0ea461cdcc91c64d75db5055f739cf199fe9dd3f,2018-07-02 01:32:00,2018-07-02 01:55:27,2018-07-02 02:34:36,CATD,Escaner,ACTA PREP
'210751B0100,210751B010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0751,01,B,00,2,3,212,324,1,325,46,45,25,11,5,4,26,6,7,119,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,2,0,10,325,324,526,1,,1,F,bfa07eadb131918b9f09870170e83b4812469f0ec55c6361adc7a6b2038b8463,2018-07-02 04:36:00,2018-07-02 05:24:30,2018-07-02 05:28:26,CATD,Escaner,ACTA PREP
'210751C0100,210751C010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0751,01,C,00,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,Excede Lista Nominal,0,F,f634a07dc82f39d1e5edfe9523c14e14185c460b9813951a0a7ecab497bcf8a5,2018-07-02 03:51:00,2018-07-02 04:55:56,2018-07-02 04:57:39,CATD,Escaner,ACTA PREP
'210752B0100,210752B010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0752,01,B,00,2,3,242,346,0,346,51,31,25,12,9,16,23,8,4,123,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,1,3,0,19,346,346,567,0,,1,F,bb488f77b65f75477547d6b4b2f85677f5a321d03936df61a9f846839b09df8c,2018-07-02 03:22:00,2018-07-02 04:10:33,2018-07-02 04:12:37,CATD,Escaner,ACTA PREP
'210752C0100,210752C010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0752,01,C,00,2,3,,343,3,0,50,35,25,10,16,18,14,3,12,134,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,346,339,566,3,,1,F,cd6e6120df953ebf0fec5a57abf8f76d2958ccbfb380f6642913fae21370ffff,2018-07-02 05:32:00,2018-07-02 07:29:10,2018-07-02 07:31:04,CATD,Escaner,ACTA PREP
'210752C0200,210752C020003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0752,02,C,00,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566,,Sin Acta,0,,,,,,,,
'210752E0100,210752E010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0752,01,E,00,2,3,156,253,6,259,44,36,20,2,6,4,90,1,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,29,259,254,394,6,,1,F,aaf1d826f693c6382d3f3bf51ffa6b2acb478aa662ec9e4106d117f099cb0780,2018-07-02 05:33:00,2018-07-02 07:27:43,2018-07-02 07:29:29,CATD,Escaner,ACTA PREP
'210753B0100,210753B010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0753,01,B,00,2,3,248,343,4,347,46,23,21,7,8,16,29,2,5,140,7,0,5,0,0,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,17,347,338,571,4,,1,F,d841dd3509d33ada0836b79cd0d5d71ef5c19a0148b6bae9253a67391cf8c6b2,2018-07-02 05:56:00,2018-07-02 06:20:56,2018-07-02 06:24:33,CATD,Escaner,ACTA PREP
'210753C0100,210753C010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0753,01,C,00,2,3,240,344,6,351,51,36,21,8,5,15,33,5,8,127,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2,0,2,0,19,350,352,571,6,,1,F,bd75ca204ddc16b1cd1ff3856216cf5acaa771365f603d3e4560fd5ba7bbadcb,2018-07-02 04:24:00,2018-07-02 06:12:39,2018-07-02 06:14:04,CATD,Escaner,ACTA PREP
'210753C0200,210753C020003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0753,02,C,00,2,3,,320,1,315,42,44,25,13,10,10,32,4,1,92,5,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,2,0,3,0,9,321,314,570,1,,1,F,dcf84199bfc2d6ccc58d5f54c77d7af9caf4553256ee0aeafb7b1c41341ea523,2018-07-02 04:22:00,2018-07-02 06:16:17,2018-07-02 06:21:43,CATD,Escaner,ACTA PREP
'210753C0300,210753C030003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0753,03,C,00,2,3,260,325,7,327,49,35,22,7,9,10,29,10,7,99,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,2,1,0,0,0,0,0,0,5,1,0,1,0,27,332,328,570,7,,1,F,5d0dafb6149fd423555f392ee6fd3d9eb2b97a20aeeb97247db609b9c2335be5,2018-07-02 06:18:00,2018-07-02 06:21:25,2018-07-02 06:26:09,CATD,Escaner,ACTA PREP
'210754B0100,210754B010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0754,01,B,00,2,3,311,411,7,418,43,92,21,26,27,19,43,6,6,82,7,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,4,0,2,0,26,418,417,708,7,,1,F,e6ac966494e1e0e683916d18eeb7e80c83a6053cdb47a1172d79aaae1a44cdfb,2018-07-02 03:02:00,2018-07-02 03:21:31,2018-07-02 03:26:16,CATD,Escaner,ACTA PREP
'210754E0100,210754E010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0754,01,E,00,2,3,202,233,10,243,19,55,19,8,4,15,12,6,6,67,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,16,243,243,424,10,,1,F,09d13dfcd380f516aa8412b9eeee639b7c8f41b0966754155d2f0977bb87e843,2018-07-02 03:04:00,2018-07-02 03:27:22,2018-07-02 03:31:28,CATD,Escaner,ACTA PREP
'210754E0101,210754E010103,21,PUEBLA,022,IZUCAR DE MATAMOROS,0754,01,E,01,2,3,191,253,0,253,20,51,23,6,7,9,12,2,3,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,253,198,423,0,,1,F,833d6b0c12ce11e2185bf75bc62852ef7ef2cafd5a692c241590da3ffdbe2412,2018-07-02 03:01:00,2018-07-02 04:31:07,2018-07-02 04:35:18,CATD,Escaner,ACTA PREP
'210755B0100,210755B010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0755,01,B,00,2,3,260,338,3,341,24,66,14,10,10,30,13,7,6,114,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,4,1,3,0,23,341,337,580,3,,1,F,426d80a25bed0fbb32d849b02d4e69fdc2c14b4f398226f28a5d01f266badbb0,2018-07-02 05:17:00,2018-07-02 05:51:24,2018-07-02 05:54:34,CATD,Escaner,ACTA PREP
'210755C0100,210755C010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0755,01,C,00,2,3,246,349,5,354,30,97,25,8,13,20,20,6,8,91,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,22,354,351,579,5,,1,F,06de600a53afdcb2f4e4d81c71882c68c0ec16b3ba4b7cd1c188cb2f683750ac,2018-07-02 04:06:00,2018-07-02 05:47:02,2018-07-02 05:51:55,CATD,Escaner,ACTA PREP
'210756B0100,210756B010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0756,01,B,00,1,3,253,496,2,498,59,99,71,9,6,7,18,5,3,161,5,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,28,498,495,730,2,,1,F,9eb5dba1ecc52e22b8e0b8f3209f8403bff099a555aa65fee39cef163b1f172b,2018-07-02 07:50:00,2018-07-02 07:56:09,2018-07-02 08:12:34,CATD,Escaner,ACTA PREP
'210756C0100,210756C010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0756,01,C,00,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729,,Sin Acta,0,,,,,,,,
'210757B0100,210757B010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0757,01,B,00,2,3,200,338,0,338,30,62,27,20,9,8,9,3,3,135,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,0,14,338,338,517,0,,1,F,406e51053f194cfacd87ee8539e9c11c8fa49f004c21c9f80206d80b7144fe81,2018-07-02 06:10:00,2018-07-02 07:51:35,2018-07-02 07:52:04,CATD,Escaner,ACTA PREP
'210757C0100,210757C010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0757,01,C,00,2,3,200,331,7,338,35,59,34,10,5,3,9,5,3,150,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,15,338,337,516,7,,1,F,ddc97a91fd6c6d196037bcc7a906102437a127b33a198e13567b2feb27ae5d95,2018-07-02 06:08:00,2018-07-02 07:49:01,2018-07-02 07:50:24,CATD,Escaner,ACTA PREP
'210758B0100,210758B010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0758,01,B,00,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,,Sin Acta,0,,,,,,,,
'210758C0100,210758C010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0758,01,C,00,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,,Sin Acta,0,,,,,,,,
'210758C0200,210758C020003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0758,02,C,00,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,,Sin Acta,0,,,,,,,,
'210758E0100,210758E010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0758,01,E,00,2,3,151,305,0,305,20,44,17,20,7,15,19,2,3,131,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,10,305,300,434,0,,1,F,3cc01b4cd9018cc4ce7a82dda21750adc5c0f6f003d650f258cfe9372e8813ed,2018-07-02 03:30:00,2018-07-02 04:27:31,2018-07-02 04:29:35,CATD,Escaner,ACTA PREP
'210758E0101,210758E010103,21,PUEBLA,022,IZUCAR DE MATAMOROS,0758,01,E,01,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433,,Sin Acta,0,,,,,,,,
'210759B0100,210759B010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0759,01,B,00,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,,Sin Acta,0,,,,,,,,
'210759C0100,210759C010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0759,01,C,00,1,3,227,379,3,382,41,34,23,13,9,14,36,3,5,173,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,15,382,382,589,3,,1,F,81e4891bbad7f8ba238814e67fe8c2315570f5002f60638043bcb7e24722473e,2018-07-02 02:02:00,2018-07-02 02:15:49,2018-07-02 02:44:24,CATD,Escaner,ACTA PREP
'210760B0100,210760B010003,21,PUEBLA,022,IZUCAR DE MATAMOROS,0760,01,B,00,2,3,183,362,1,362,32,52,74,15,14,9,23,8,1,84,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,4,21,0,362,362,524,1,,1,F,776d0c0d72ecd1343000fe56f0dbce2d8231479a3c15536f21e2aa7b95c57736,2018-07-02 03:22:00,2018-07-02 04:16:42,2018-07-02 04:17:45,CATD,Escaner,ACTA PREP
