GUBERNATURA
02/07/2018 20:00 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
7548,7407,0,7407,98.1319,6232,82.5649,4.0805,1174,3705612,2516965,2506816,67.6491

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PV,MC,CPP,PSI,MORENA,PES,C_PT_MORENA_PES,C_PT_MORENA,C_PT_PES,C_MORENA_PES,C_PAN_PRD_MC_CPP_PSI,C_PAN_PRD_MC_CPP,C_PAN_PRD_MC_PSI,C_PAN_PRD_CPP_PSI,C_PAN_MC_CPP_PSI,C_PRD_MC_CPP_PSI,C_PAN_PRD_MC,C_PAN_PRD_CPP,C_PAN_PRD_PSI,C_PAN_MC_CPP,C_PAN_MC_PSI,C_PAN_CPP_PSI,C_PRD_MC_CPP,C_PRD_MC_PSI,C_PRD_CPP_PSI,C_MC_CPP_PSI,C_PAN_PRD,C_PAN_MC,C_PAN_CPP,C_PAN_PSI,C_PRD_MC,C_PRD_CPP,C_PRD_PSI,C_MC_CPP,C_MC_PSI,C_CPP_PSI,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'210004C0100,210004C010005,21,PUEBLA,012,AMOZOC DE MOTA,0004,01,C,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,,Sin Acta,0,,,,,,,,
'210004C0200,210004C020005,21,PUEBLA,012,AMOZOC DE MOTA,0004,02,C,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563,,Sin Acta,0,,,,,,,,
'210004C0300,210004C030005,21,PUEBLA,012,AMOZOC DE MOTA,0004,03,C,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563,,Sin Acta,0,,,,,,,,
'210005B0100,210005B010005,21,PUEBLA,012,AMOZOC DE MOTA,0005,01,B,00,2,5,274,458,0,458,100,40,15,27,10,9,13,25,159,11,7,3,0,4,6,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,14,458,452,712,0,,1,F,2bc84b7fb7221127b7140e9369406c62465c86c35395e6fd7a7ac3b5187de0e2,2018-07-02 03:43:00,2018-07-02 03:55:13,2018-07-02 03:56:10,CATD,Escaner,ACTA PREP
'210005C0100,210005C010005,21,PUEBLA,012,AMOZOC DE MOTA,0005,01,C,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,,Sin Acta,0,,,,,,,,
'210005C0200,210005C020005,21,PUEBLA,012,AMOZOC DE MOTA,0005,02,C,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,,Sin Acta,0,,,,,,,,
'210005C0300,210005C030005,21,PUEBLA,012,AMOZOC DE MOTA,0005,03,C,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,,Sin Acta,0,,,,,,,,
'210006B0100,210006B010005,21,PUEBLA,012,AMOZOC DE MOTA,0006,01,B,00,2,5,235,414,1,415,101,37,11,16,11,26,10,18,148,5,8,1,0,4,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,8,415,416,632,1,,1,F,211b1f497e35485ef21686f040a7948cbbca6f0aa648d0b9c59136c95317c999,2018-07-02 01:59:00,2018-07-02 02:23:12,2018-07-02 02:25:52,CATD,Escaner,ACTA PREP
'210006C0100,210006C010005,21,PUEBLA,012,AMOZOC DE MOTA,0006,01,C,00,2,5,201,448,3,441,78,47,12,24,13,22,11,17,178,9,14,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,17,441,453,632,3,,1,F,00c17c43d461c2734b09174755cbff1976b1d3eb001b8c4b6c0ff8510b1abd86,2018-07-02 02:15:00,2018-07-02 02:40:24,2018-07-02 03:05:23,CATD,Escaner,ACTA PREP
'210006C0200,210006C020005,21,PUEBLA,012,AMOZOC DE MOTA,0006,02,C,00,2,5,219,432,0,432,84,29,11,17,16,20,10,15,166,9,17,5,1,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,15,432,430,631,0,,1,F,36c603517568169bbb46c0b33fb48ae7ec4763bdc4ee2997f9e1fd72de7c7368,2018-07-02 02:11:00,2018-07-02 02:30:54,2018-07-02 02:33:03,CATD,Escaner,ACTA PREP
'210006C0300,210006C030005,21,PUEBLA,012,AMOZOC DE MOTA,0006,03,C,00,2,5,215,435,1,1,82,34,6,29,14,13,10,16,165,11,1,3,1,5,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,28,436,430,631,1,,1,F,58ae0118ee25b1a95256081e227c81f33a4e7748361cf3fdefd9b9d8e2c12ba7,2018-07-02 02:28:00,2018-07-02 02:51:29,2018-07-02 02:52:40,CATD,Escaner,ACTA PREP
'210007B0100,210007B010005,21,PUEBLA,012,AMOZOC DE MOTA,0007,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,Sin Acta,0,,,,,,,,
'210007C0100,210007C010005,21,PUEBLA,012,AMOZOC DE MOTA,0007,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,Sin Acta,0,,,,,,,,
'210007C0200,210007C020005,21,PUEBLA,012,AMOZOC DE MOTA,0007,02,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,Sin Acta,0,,,,,,,,
'210007C0300,210007C030005,21,PUEBLA,012,AMOZOC DE MOTA,0007,03,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699,,Sin Acta,0,,,,,,,,
'210008B0100,210008B010005,21,PUEBLA,012,AMOZOC DE MOTA,0008,01,B,00,1,5,323,437,2,415,61,56,9,29,14,70,9,6,127,10,8,2,1,4,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,23,439,437,745,2,,1,F,9ff3d3b308a09a8328de8deaa8c950dd957deba21620792e5fc623da68487b1a,2018-07-02 06:54:00,2018-07-02 07:09:52,2018-07-02 07:10:38,CATD,Escaner,ACTA PREP
'210008C0100,210008C010005,21,PUEBLA,012,AMOZOC DE MOTA,0008,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,,Sin Acta,0,,,,,,,,
'210008C0200,210008C020005,21,PUEBLA,012,AMOZOC DE MOTA,0008,02,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,,Sin Acta,0,,,,,,,,
'210008C0300,210008C030005,21,PUEBLA,012,AMOZOC DE MOTA,0008,03,C,00,1,5,313,450,6,457,61,55,6,28,7,57,12,9,122,12,8,2,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,1,1,0,0,61,456,457,745,6,,1,F,bfa44512fe43860add2d5d0ce7044d7fd11685adebbe102b43c425d0eba10252,2018-07-02 06:58:00,2018-07-02 07:15:16,2018-07-02 07:16:41,CATD,Escaner,ACTA PREP
'210009B0100,210009B010005,21,PUEBLA,012,AMOZOC DE MOTA,0009,01,B,00,2,5,238,380,9,389,0,49,0,0,0,0,0,0,0,0,135,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,389,380,607,9,,1,F,2453108e766f0e2da4abbcac7e0f187ecccfaec88dd089cc70859c0236e6947f,2018-07-02 06:39:00,2018-07-02 06:46:54,2018-07-02 06:47:36,CATD,Escaner,ACTA PREP
'210009C0100,210009C010005,21,PUEBLA,012,AMOZOC DE MOTA,0009,01,C,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607,,Sin Acta,0,,,,,,,,
'210009C0200,210009C020005,21,PUEBLA,012,AMOZOC DE MOTA,0009,02,C,00,2,5,253,389,6,389,0,41,0,0,9,0,0,0,0,0,155,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,395,389,607,6,,1,F,ef0593d1bb8965efa92ec1a362397861ac00ac0192e74c25ed8156dab85c54bd,2018-07-02 06:48:00,2018-07-02 06:59:32,2018-07-02 07:01:20,CATD,Escaner,ACTA PREP
'210009C0300,210009C030005,21,PUEBLA,012,AMOZOC DE MOTA,0009,03,C,00,2,5,265,360,6,361,121,21,0,0,6,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,366,361,606,6,,1,F,195c5062c8d17c6575f200c54b1e9464ef0e19ad8a492187f177ab86006deddd,2018-07-02 06:48:00,2018-07-02 07:02:13,2018-07-02 07:02:47,CATD,Escaner,ACTA PREP
'210010B0100,210010B010005,21,PUEBLA,012,AMOZOC DE MOTA,0010,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618,,Sin Acta,0,,,,,,,,
'210010C0100,210010C010005,21,PUEBLA,012,AMOZOC DE MOTA,0010,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618,,Sin Acta,0,,,,,,,,
'210010C0200,210010C020005,21,PUEBLA,012,AMOZOC DE MOTA,0010,02,C,00,1,5,245,392,1,393,111,41,15,25,25,6,5,3,131,7,6,0,2,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,6,393,393,618,1,,1,F,326a84b1a774badb521c66e7eb68abc799f60ef5ed27b7c3d4c76564ed2adbd1,2018-07-02 02:52:00,2018-07-02 03:08:05,2018-07-02 03:09:25,CATD,Escaner,ACTA PREP
'210010C0300,210010C030005,21,PUEBLA,012,AMOZOC DE MOTA,0010,03,C,00,1,5,262,375,0,375,74,45,14,18,25,8,12,5,144,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,375,375,618,0,,1,F,239d21a262ecc246c725f30f6b17aa319168d4b1fbee91b40ad5c5a26b2b0b1f,2018-07-02 02:51:00,2018-07-02 03:12:18,2018-07-02 03:13:16,CATD,Escaner,ACTA PREP
'210011B0100,210011B010005,21,PUEBLA,012,AMOZOC DE MOTA,0011,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735,,Sin Acta,0,,,,,,,,
'210011C0100,210011C010005,21,PUEBLA,012,AMOZOC DE MOTA,0011,01,C,00,1,5,261,493,0,479,103,54,14,21,24,20,15,3,177,10,6,3,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,17,493,479,734,0,,1,F,729a6d282c6279008c4a63553532048546b063e62070de31aca2f65918f715ba,2018-07-02 02:37:00,2018-07-02 02:50:55,2018-07-02 02:51:36,CATD,Escaner,ACTA PREP
