GUBERNATURA
02/07/2018 20:00 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
7548,7407,0,7407,98.1319,6232,82.5649,4.0805,1174,3705612,2516965,2506816,67.6491

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PV,MC,CPP,PSI,MORENA,PES,C_PT_MORENA_PES,C_PT_MORENA,C_PT_PES,C_MORENA_PES,C_PAN_PRD_MC_CPP_PSI,C_PAN_PRD_MC_CPP,C_PAN_PRD_MC_PSI,C_PAN_PRD_CPP_PSI,C_PAN_MC_CPP_PSI,C_PRD_MC_CPP_PSI,C_PAN_PRD_MC,C_PAN_PRD_CPP,C_PAN_PRD_PSI,C_PAN_MC_CPP,C_PAN_MC_PSI,C_PAN_CPP_PSI,C_PRD_MC_CPP,C_PRD_MC_PSI,C_PRD_CPP_PSI,C_MC_CPP_PSI,C_PAN_PRD,C_PAN_MC,C_PAN_CPP,C_PAN_PSI,C_PRD_MC,C_PRD_CPP,C_PRD_PSI,C_MC_CPP,C_MC_PSI,C_CPP_PSI,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'210766B0100,210766B010005,21,PUEBLA,001,XICOTEPEC DE JUAREZ,0766,01,B,00,2,5,122,290,4,294,56,45,11,7,28,37,7,2,43,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,38,294,291,396,4,,1,F,48f715c43478d3101bb3d1e4b6dd62ddb0b671edf34e61ae5c56e0a1ed6daa45,2018-07-02 03:26:00,2018-07-02 03:40:13,2018-07-02 03:41:52,CATD,Escaner,ACTA PREP
'210766E0100,210766E010005,21,PUEBLA,001,XICOTEPEC DE JUAREZ,0766,01,E,00,2,5,71,282,3,285,30,15,10,4,65,72,5,1,47,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,285,284,335,3,,1,F,8bf65677678d11f26fc8fc288da6a574382be5e3d7e1042af7708e18a12d8bc6,2018-07-02 03:15:00,2018-07-02 03:29:06,2018-07-02 03:29:38,CATD,Escaner,ACTA PREP
'210767B0100,210767B010005,21,PUEBLA,001,XICOTEPEC DE JUAREZ,0767,01,B,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598,,Sin Acta,0,,,,,,,,
'210767C0100,210767C010005,21,PUEBLA,001,XICOTEPEC DE JUAREZ,0767,01,C,00,2,5,148,470,0,470,54,44,21,15,59,76,7,6,133,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,21,0,0,0,0,0,0,18,470,470,598,0,,1,F,2858ea3c0465813bb1d10818de4c10f7b940f2440e5143f1e216c4c7b3a31301,2018-07-02 07:27:00,2018-07-02 07:34:13,2018-07-02 07:35:01,CATD,Escaner,ACTA PREP
'210767C0200,210767C020005,21,PUEBLA,001,XICOTEPEC DE JUAREZ,0767,02,C,00,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,0,Todos los campos ilegibles,0,F,9e1a7634a7acbc9cd7fb1aece725cdc05e74192db8ed494f7d231ff40c562690,2018-07-02 07:33:00,2018-07-02 07:53:31,2018-07-02 07:55:03,CATD,Escaner,ACTA PREP
'210768B0100,210768B010005,21,PUEBLA,001,XICOTEPEC DE JUAREZ,0768,01,B,00,2,5,158,594,1,592,106,58,9,18,92,93,10,0,156,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39,595,589,731,1,,1,F,86920b799bf4df80de3bdf7cc7cc75000705323dafeca9df7a1c341321226bec,2018-07-02 04:50:00,2018-07-02 05:07:40,2018-07-02 05:09:53,CATD,Escaner,ACTA PREP
'210768C0100,210768C010005,21,PUEBLA,001,XICOTEPEC DE JUAREZ,0768,01,C,00,2,5,169,586,2,582,61,51,9,33,84,105,11,0,156,9,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,57,588,582,731,2,,1,F,de01f60d1e0025d32c64b0e4b92e52d4f168d3b11b22c0b544b56652e19b3988,2018-07-02 04:38:00,2018-07-02 04:51:26,2018-07-02 05:48:50,CATD,Escaner,ACTA PREP
'210768C0200,210768C020005,21,PUEBLA,001,XICOTEPEC DE JUAREZ,0768,02,C,00,2,5,169,586,2,582,61,51,9,33,84,105,11,0,156,9,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,57,588,582,731,2,,1,F,83d2a9373e0731a7525cbede1c805c186f0cec4c45368899311dfdfb1d3f34b2,2018-07-02 04:38:00,2018-07-02 11:27:44,2018-07-02 11:27:57,CATD,Escaner,ACTA PREP
'210769B0100,210769B010005,21,PUEBLA,001,XICOTEPEC DE JUAREZ,0769,01,B,00,2,5,159,458,0,458,63,26,13,25,79,7,4,109,10,0,2,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,40,458,387,597,0,,1,F,21b737d37eaf26548f53c228db3342d7bbc37f6eec0c3a035a7163571d15429d,2018-07-02 08:29:00,2018-07-02 08:38:45,2018-07-02 08:39:23,CATD,Escaner,ACTA PREP
'210770B0100,210770B010005,21,PUEBLA,022,IZUCAR DE MATAMOROS,0770,01,B,00,2,5,158,470,5,470,45,126,18,24,0,16,41,1,131,12,2,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,39,470,469,608,5,,1,F,e412b48680e3a4a2a0a467615c4e0289bc429921c3d0e2ff36369bc4d5905cca,2018-07-02 06:12:00,2018-07-02 06:16:03,2018-07-02 06:19:12,CATD,Escaner,ACTA PREP
'210770C0100,210770C010005,21,PUEBLA,022,IZUCAR DE MATAMOROS,0770,01,C,00,2,5,138,475,14,489,45,128,33,14,0,29,54,2,100,8,0,0,0,3,7,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,3,0,5,1,0,1,0,0,0,59,489,497,607,14,,1,F,896d2eff26e7e84bbbdcb3359b3fb02122e57888374795c371459257af84e2bb,2018-07-02 05:58:00,2018-07-02 06:01:15,2018-07-02 06:04:19,CATD,Escaner,ACTA PREP
'210770C0200,210770C020005,21,PUEBLA,022,IZUCAR DE MATAMOROS,0770,02,C,00,2,5,149,478,0,478,52,129,21,22,1,31,52,0,95,9,6,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,1,1,0,0,0,0,36,478,478,607,0,,1,F,7ec501891de7abd30927f6bdbdb610884d4b15c5b37a93d98745c5243a97af2e,2018-07-02 03:36:00,2018-07-02 03:40:48,2018-07-02 03:42:34,CATD,Escaner,ACTA PREP
'210770C0300,210770C030005,21,PUEBLA,022,IZUCAR DE MATAMOROS,0770,03,C,00,2,5,147,470,10,480,63,153,26,21,4,22,43,4,85,8,5,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,20,480,467,607,10,,1,F,93a02f86ba82d9d5ffe4cd6e74f4c9952647e63fffc5479547dec33bfb150cd3,2018-07-02 04:53:00,2018-07-02 04:57:09,2018-07-02 04:58:33,CATD,Escaner,ACTA PREP
'210770C0400,210770C040005,21,PUEBLA,022,IZUCAR DE MATAMOROS,0770,04,C,00,2,5,151,476,0,476,63,164,23,12,2,26,51,2,88,6,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,26,476,476,607,0,,1,F,36776853ce05f3f4f063d770a561992f11f6a4bbe48ac9ddf29a4e087db3d559,2018-07-02 05:20:00,2018-07-02 05:23:24,2018-07-02 05:26:03,CATD,Escaner,ACTA PREP
'210771B0100,210771B010005,21,PUEBLA,022,IZUCAR DE MATAMOROS,0771,01,B,00,2,5,0,0,0,0,71,191,7,8,6,22,131,0,32,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,506,689,0,,1,F,d0ff03a419289b01fe728996e2a1490e8498e452e5e7ea85b2971b84284ec088,2018-07-02 05:38:00,2018-07-02 05:44:04,2018-07-02 06:52:36,CATD,Escaner,ACTA PREP
'210771C0100,210771C010005,21,PUEBLA,022,IZUCAR DE MATAMOROS,0771,01,C,00,2,5,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,0,128,689,0,,1,F,4cc95cc08805239629b84d347be49814fa6f0b3387761e07e0749d2bc29841d5,2018-07-02 04:32:00,2018-07-02 04:38:02,2018-07-02 05:50:58,CATD,Escaner,ACTA PREP
'210771C0200,210771C020005,21,PUEBLA,022,IZUCAR DE MATAMOROS,0771,02,C,00,2,5,129,580,1,0,71,157,19,3,1,29,204,0,45,3,0,0,0,1,5,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,2,20,0,7,0,0,0,0,0,0,28,0,602,689,1,,1,F,b3e946292dd190948a470f41d71159c342a47bf3dd22b340ad61277f1b08c3a3,2018-07-02 06:38:00,2018-07-02 06:41:31,2018-07-02 06:41:56,CATD,Escaner,ACTA PREP
'210772B0100,210772B010005,21,PUEBLA,022,IZUCAR DE MATAMOROS,0772,01,B,00,2,5,122,381,1,381,39,110,22,17,1,27,43,1,63,6,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,9,0,0,0,0,0,0,29,381,381,484,1,,1,F,eb8462bc9a3bf226bea6faa593d7843409d4193250f34ca627cdd8ca8b12bb2d,2018-07-02 03:49:00,2018-07-02 03:52:27,2018-07-02 03:53:58,CATD,Escaner,ACTA PREP
'210772C0100,210772C010005,21,PUEBLA,022,IZUCAR DE MATAMOROS,0772,01,C,00,2,5,105,394,4,399,56,125,20,7,2,18,26,1,82,3,2,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,398,355,483,4,,1,F,5d6a18fdf4793d8f0c595d834672505bfadecb2a0eece5f02453046826f4f739,2018-07-02 02:56:00,2018-07-02 02:59:38,2018-07-02 03:01:22,CATD,Escaner,ACTA PREP
'210773B0100,210773B010005,21,PUEBLA,022,IZUCAR DE MATAMOROS,0773,01,B,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657,,Sin Acta,0,,,,,,,,
'210773C0100,210773C010005,21,PUEBLA,022,IZUCAR DE MATAMOROS,0773,01,C,00,2,5,196,480,1,481,81,130,40,11,3,64,65,11,23,3,0,1,0,0,4,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,2,0,6,2,2,2,0,0,0,28,481,485,656,1,,1,F,85a305fe7a7c36ecd9d0e9945d075d60e923a2e8fe2fa5b759d63e2153bbb07e,2018-07-02 07:33:00,2018-07-02 07:36:53,2018-07-02 07:37:56,CATD,Escaner,ACTA PREP
'210773E0100,210773E010005,21,PUEBLA,022,IZUCAR DE MATAMOROS,0773,01,E,00,2,5,89,371,2,373,41,104,17,10,4,21,83,1,44,0,6,3,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14,0,2,0,0,0,0,1,0,16,373,373,442,2,,1,F,a586d4af32b676e159c2df88e9aaa8850fef9dc803ada504591aa288da10361d,2018-07-02 07:03:00,2018-07-02 07:06:03,2018-07-02 07:07:14,CATD,Escaner,ACTA PREP
'210774B0100,210774B010005,21,PUEBLA,022,IZUCAR DE MATAMOROS,0774,01,B,00,2,5,150,319,1,321,60,60,23,9,1,34,53,0,34,3,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,0,2,0,2,0,0,1,0,0,0,20,320,311,450,1,,1,F,9874b825cb1c39dcc66bb9a6843e8db057990cfe2e3253db37de6eb5d9e05d2c,2018-07-02 07:48:00,2018-07-02 07:50:05,2018-07-02 07:51:15,CATD,Escaner,ACTA PREP
'210774C0100,210774C010005,21,PUEBLA,022,IZUCAR DE MATAMOROS,0774,01,C,00,2,5,120,349,0,348,80,52,22,10,1,36,56,2,46,1,2,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,6,0,11,1,0,1,0,0,0,0,14,349,348,449,0,,1,F,762771d01fa7589dec0db4eaa83e90bdf0b0af9c126de6ec65fc7de811209e67,2018-07-02 07:58:00,2018-07-02 08:00:58,2018-07-02 08:19:28,CATD,Escaner,ACTA PREP
'210775B0100,210775B010005,21,PUEBLA,022,IZUCAR DE MATAMOROS,0775,01,B,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,,Sin Acta,0,,,,,,,,
'210776B0100,210776B010005,21,PUEBLA,005,TLATLAUQUITEPEC,0776,01,B,00,2,5,153,409,0,409,89,148,5,23,62,4,1,2,49,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,409,409,542,0,,1,F,1a4db3b0f3e00befc680f6795ed828d97cb586cd9ecd06291ef7d9e56f436557,2018-07-02 08:33:00,2018-07-02 08:38:19,2018-07-02 08:39:06,CATD,Escaner,ACTA PREP
'210776C0100,210776C010005,21,PUEBLA,005,TLATLAUQUITEPEC,0776,01,C,00,2,5,152,410,0,410,76,173,2,13,48,4,3,2,54,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,410,410,542,0,,1,F,f341c4c9bbe44aa34402aeb7813b11e23d41c74645319a3b9c5628e41d30bb06,2018-07-02 08:43:00,2018-07-02 08:49:18,2018-07-02 08:49:47,CATD,Escaner,ACTA PREP
'210777B0100,210777B010005,21,PUEBLA,005,TLATLAUQUITEPEC,0777,01,B,00,2,5,151,447,0,447,40,142,6,32,111,6,2,2,58,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,41,447,447,578,0,,1,F,33c400df74da364de5b569c3a11d131ac2443519bb780df14cf24aee168728d6,2018-07-02 08:55:00,2018-07-02 09:00:15,2018-07-02 09:02:20,CATD,Escaner,ACTA PREP
'210778B0100,210778B010005,21,PUEBLA,005,TLATLAUQUITEPEC,0778,01,B,00,2,5,131,309,2,311,63,50,4,27,30,8,11,0,73,9,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,30,311,311,422,2,,1,F,bcfde8a908e435f127b3b594b50e874468d0eab8f6f1835f92fb5b0d0bf949a9,2018-07-02 10:11:00,2018-07-02 10:16:30,2018-07-02 10:16:50,CATD,Escaner,ACTA PREP
'210778C0100,210778C010005,21,PUEBLA,005,TLATLAUQUITEPEC,0778,01,C,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421,,Sin Acta,0,,,,,,,,
'210778E0100,210778E010005,21,PUEBLA,005,TLATLAUQUITEPEC,0778,01,E,00,2,5,85,259,0,259,42,90,3,23,27,4,5,2,35,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,259,259,324,0,,1,F,6ee9329b391f262b5dee873fe762fe346f1154372277ea7b25c148cd626a6976,2018-07-02 09:04:00,2018-07-02 09:12:40,2018-07-02 09:13:50,CATD,Escaner,ACTA PREP
'210778E0200,210778E020005,21,PUEBLA,005,TLATLAUQUITEPEC,0778,02,E,00,2,5,171,435,0,434,108,103,10,19,84,5,13,1,36,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,48,435,434,586,0,,1,F,c264fc4759355f81ebdb9c2176435e67d7e3b0b3555648581f4b535dc9261f78,2018-07-02 09:14:00,2018-07-02 10:07:25,2018-07-02 10:07:51,CATD,Escaner,ACTA PREP
'210779B0100,210779B010005,21,PUEBLA,002,HUAUCHINANGO DE DEGOLLADO,0779,01,B,00,2,5,149,481,0,481,228,53,1,3,140,4,0,0,38,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,481,481,610,0,,1,F,bb861d96450ad7d5d7e004a1f1c78ccc21c61a2fbe1565703780a4a2c12044cf,2018-07-02 08:03:00,2018-07-02 10:01:59,2018-07-02 10:02:47,CATD,Escaner,ACTA PREP
'210779C0100,210779C010005,21,PUEBLA,002,HUAUCHINANGO DE DEGOLLADO,0779,01,C,00,2,5,170,460,0,460,189,41,0,2,175,4,2,0,31,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,460,460,610,0,,1,F,9ea09241a8e423d203c0401c6e1a125aa56b2a0acbb12126d0f4156a670607d7,2018-07-02 08:09:00,2018-07-02 08:30:40,2018-07-02 08:34:51,CATD,Escaner,ACTA PREP
'210779C0200,210779C020005,21,PUEBLA,002,HUAUCHINANGO DE DEGOLLADO,0779,02,C,00,2,5,149,481,0,481,228,36,2,4,156,0,1,2,31,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,481,479,610,0,,1,F,166bdf66b7996159120434428d68cae040e4136ed3a3213f4922ebd34dee5ebf,2018-07-02 08:14:00,2018-07-02 09:38:35,2018-07-02 09:39:46,CATD,Escaner,ACTA PREP
'210780B0100,210780B010005,21,PUEBLA,002,HUAUCHINANGO DE DEGOLLADO,0780,01,B,00,1,5,131,463,0,463,103,79,86,15,3,8,0,4,124,3,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,27,463,463,575,0,,1,F,a3afa4365680a354a03f2759cc41e5dd31abd81949b938ed15ce1cdbba6e69bf,2018-07-02 07:42:00,2018-07-02 08:54:03,2018-07-02 08:57:15,CATD,Escaner,ACTA PREP
'210780C0100,210780C010005,21,PUEBLA,002,HUAUCHINANGO DE DEGOLLADO,0780,01,C,00,1,5,120,475,0,475,125,45,90,15,15,6,0,2,123,8,7,3,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,1,0,1,0,1,0,0,0,0,0,595,453,575,0,,1,F,bfbb0ec98fdc8e1ca0c773fdd477d9deebcde0a8e6c5a26d87a1c250cbd18e41,2018-07-02 07:47:00,2018-07-02 08:15:51,2018-07-02 08:17:41,CATD,Escaner,ACTA PREP
'210780C0200,210780C020005,21,PUEBLA,002,HUAUCHINANGO DE DEGOLLADO,0780,02,C,00,1,5,131,462,0,462,112,69,72,15,8,3,0,4,133,8,8,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,2,0,0,1,0,18,593,462,574,0,,1,F,c2097ff07aee5807b899db941ec5a24bfe4c996cbfb24b60e687944fbaa1b20a,2018-07-02 07:55:00,2018-07-02 09:54:06,2018-07-02 10:02:39,CATD,Escaner,ACTA PREP
'210781B0100,210781B010005,21,PUEBLA,002,HUAUCHINANGO DE DEGOLLADO,0781,01,B,00,1,5,136,453,0,453,118,64,81,24,13,2,1,7,96,12,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,0,0,0,21,453,453,568,0,,1,F,32d6024123e5bd12b6fa7689f7d5625007602b6c2c18328a3844d2fb14f7d6b7,2018-07-02 07:15:00,2018-07-02 10:27:08,2018-07-02 10:27:57,CATD,Escaner,ACTA PREP
'210781C0100,210781C010005,21,PUEBLA,002,HUAUCHINANGO DE DEGOLLADO,0781,01,C,00,1,5,27,455,1,456,102,66,58,17,20,3,6,6,132,6,2,0,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,27,456,456,568,1,,1,F,fee86a91d5d8e3bd2c26c103ba258336fedb010c54ea92f1409a93ddb6f7540a,2018-07-02 07:07:00,2018-07-02 07:25:10,2018-07-02 07:26:11,CATD,Escaner,ACTA PREP
'210782B0100,210782B010005,21,PUEBLA,002,HUAUCHINANGO DE DEGOLLADO,0782,01,B,00,2,5,170,583,0,579,180,23,75,18,22,4,4,8,178,12,0,4,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,2,0,583,540,731,0,,1,F,c4b47cec441a5adfb606bd512ba421d1d25d7cd160221f80b4b15c8fdbe6b38c,2018-07-02 07:27:00,2018-07-02 07:45:37,2018-07-02 07:48:14,CATD,Escaner,ACTA PREP
'210782E0100,210782E010005,21,PUEBLA,002,HUAUCHINANGO DE DEGOLLADO,0782,01,E,00,2,5,105,339,0,338,76,56,54,9,21,15,1,8,68,5,0,0,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,339,323,423,0,,1,F,982f5874c1de69e2d67ee51e4a8c63cb66727c655e04c2190daed955a8112aee,2018-07-02 07:34:00,2018-07-02 09:31:55,2018-07-02 09:37:10,CATD,Escaner,ACTA PREP
'210783B0100,210783B010005,21,PUEBLA,002,HUAUCHINANGO DE DEGOLLADO,0783,01,B,00,2,5,192,451,1,452,111,76,94,8,15,2,0,5,104,5,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,19,452,449,624,1,,1,D,3c5d509fdee1302a64742bd3f3487d88d674927ed49a5f746382b2519fb33b01,2018-07-02 03:57:48,2018-07-02 06:00:12,2018-07-02 06:06:09,CASILLA,Movil,ACTA PREP
'210783C0100,210783C010005,21,PUEBLA,002,HUAUCHINANGO DE DEGOLLADO,0783,01,C,00,2,5,435,210,0,435,102,67,92,14,24,2,2,2,77,5,1,2,1,2,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,24,435,432,624,0,,1,D,6740f33bd106a715307b92c5f67fc6a7781e8763eb21bbf77b2d41a8ee868781,2018-07-02 04:03:20,2018-07-02 06:09:47,2018-07-02 06:11:23,CASILLA,Movil,ACTA PREP
'210783E0100,210783E010005,21,PUEBLA,002,HUAUCHINANGO DE DEGOLLADO,0783,01,E,00,2,5,108,325,0,325,132,22,8,4,109,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,325,292,413,0,,1,D,be7ee91cfc739a52ff17b4a9b72d509c861b1d2e791dec496a0efc226d62d4c0,2018-07-02 00:02:58,2018-07-02 00:24:12,2018-07-02 00:26:56,CASILLA,Movil,ACTA PREP
'210784B0100,210784B010005,21,PUEBLA,002,HUAUCHINANGO DE DEGOLLADO,0784,01,B,00,2,5,70,230,0,221,54,63,20,4,31,0,2,1,36,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,214,290,0,,1,D,ee59f701f211f83af5a67a17ab01ee05e68dcca0f25719162aa7f107a1ed416f,2018-07-02 03:55:42,2018-07-02 05:18:44,2018-07-02 05:21:11,CASILLA,Movil,ACTA PREP
'210785B0100,210785B010005,21,PUEBLA,002,HUAUCHINANGO DE DEGOLLADO,0785,01,B,00,2,5,136,540,0,539,61,58,110,11,32,1,1,4,222,12,4,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,540,539,655,0,,1,F,3934e8dec06af1948353253b37789cc33501e44df83dcc464f8c03b256185349,2018-07-02 04:20:00,2018-07-02 05:11:23,2018-07-02 05:13:32,CATD,Escaner,ACTA PREP
'210785C0100,210785C010005,21,PUEBLA,002,HUAUCHINANGO DE DEGOLLADO,0785,01,C,00,2,5,152,522,0,522,61,56,110,29,28,2,2,3,200,15,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,522,542,654,0,,1,F,105d65bf798a87e561998af7e90960b69e246610d8d037238b8ddbe61eb9f639,2018-07-02 04:24:00,2018-07-02 05:12:20,2018-07-02 05:14:45,CATD,Escaner,ACTA PREP
'210786B0100,210786B010005,21,PUEBLA,008,HUEJOTZINGO,0786,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,,Sin Acta,0,,,,,,,,
'210786C0100,210786C010005,21,PUEBLA,008,HUEJOTZINGO,0786,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,,Todos los campos vacio,0,F,75fd66831146d7c6f2c6a8219205ff03904b60e695fe669db575f009b75fb327,2018-07-02 05:40:00,2018-07-02 08:23:41,2018-07-02 08:26:12,CATD,Escaner,ACTA PREP
'210786C0200,210786C020005,21,PUEBLA,008,HUEJOTZINGO,0786,02,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,,Sin Acta,0,,,,,,,,
'210786C0300,210786C030005,21,PUEBLA,008,HUEJOTZINGO,0786,03,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681,,Sin Acta,0,,,,,,,,
'210786C0400,210786C040005,21,PUEBLA,008,HUEJOTZINGO,0786,04,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681,,Sin Acta,0,,,,,,,,
'210787B0100,210787B010005,21,PUEBLA,008,HUEJOTZINGO,0787,01,B,00,1,5,208,418,11,429,97,60,7,9,53,12,22,5,123,5,5,1,0,2,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,1,0,13,429,428,617,11,,1,F,6e20686442ce99a16ace5a7cc9699414a021c80fe79005107682a079b1e35ed8,2018-07-02 06:13:00,2018-07-02 08:14:10,2018-07-02 08:16:36,CATD,Escaner,ACTA PREP
